ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance.mi.,Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2741247,Bing,NA,2,2020-04-30 12:47:00,2020-04-30 13:02:00,40.41105,-75.50626,40.41105,-75.50626,0,At Water St - Accident.,569, Main St,L,East Greenville,Montgomery,PA,18041-2132,US,US/Eastern,KUKT,2020-04-30 12:55:00,68,68,68,29.29,10,ESE,24,0,Cloudy / Windy,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-323401,MapQuest,201,3,2017-02-09 16:34:44,2017-02-09 17:04:14,33.584824,-84.513527,NA,NA,0.01,Accident on I-85 Southbound at Exit 66 Flat Shoals Rd.,NA,GA-403 S,R,Atlanta,Fulton,GA,30349,US,US/Eastern,KATL,2017-02-09 16:52:00,48,NA,39,30.24,10,NNW,17.3,NA,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-792918,MapQuest,201,2,2019-12-19 16:26:49,2019-12-19 17:29:26,34.79414,-82.169228,NA,NA,0,Accident on SC-146 Woodruff Rd near Finley Hill Ct.,3902,Woodruff Rd,R,Simpsonville,Greenville,SC,29681-4359,US,US/Eastern,KGYH,2019-12-19 16:47:00,48,48,32,29.37,10,CALM,0,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-918150,MapQuest,201,2,2019-11-29 06:53:56,2019-11-29 07:53:28,39.176411,-121.053741,NA,NA,0,Right hand shoulder blocked due to accident on CA-49 Southbound near Christian Life Way.,NA,Bethel Church Way,R,Grass Valley,Nevada,CA,95949,US,US/Pacific,KGOO,2019-11-29 06:55:00,30,30,93,26.4,10,CALM,0,0,,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day
A-25275,MapQuest,201,2,2016-10-18 21:37:52,2016-10-18 22:07:08,37.410831,-122.075806,NA,NA,0.01,Right hand shoulder blocked due to accident on CA-85 Southbound at Exits 24B 24C US-101.,NA,Bayshore Fwy S,R,Mountain View,Santa Clara,CA,94043,US,US/Pacific,KNUQ,2016-10-18 21:56:00,60.1,NA,62,30.18,10,WNW,4.6,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-3205850,Bing,NA,2,2019-01-24 07:58:39,2019-01-24 08:28:22,41.84094,-71.41111,41.83491,-71.4162,0.492,At RI-7/RI-146/Charles St/Exit 23 - Accident. Left lane blocked.,NA,Industrial Dr,R,Providence,Providence,RI,02904,US,US/Eastern,KSFZ,2019-01-24 07:56:00,54,NA,90,29.55,10,SSW,15,0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2737674,Bing,NA,2,2020-06-03 11:20:00,2020-06-03 11:53:36,38.38614,-122.716273,38.38614,-122.716273,0,At Todd Rd/Exit 485 - Accident.,NA,Redwood Hwy S,R,Santa Rosa,Sonoma,CA,95407,US,US/Pacific,KSTS,2020-06-03 10:53:00,85,85,38,29.8,9,S,7,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2426272,MapQuest,202,2,2017-08-07 17:46:51,2017-08-07 18:31:33,42.293449,-71.409042,NA,NA,0,Partially blocked and slow traffic due to serious accident on MA-126 Concord St at Anzio Rd.,600,Concord St,R,Framingham,Middlesex,MA,01702-8003,US,US/Eastern,KOWD,2017-08-07 17:53:00,72,NA,64,30.02,10,SSW,9.2,NA,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1952866,MapQuest,201,2,2018-04-14 23:39:07,2018-04-15 00:08:47,34.119167,-118.160431,NA,NA,0,Middle lane blocked due to accident on CA-110 Southbound at Exit 31A Orange Grove Ave.,NA,Orange Grove Ave,R,South Pasadena,Los Angeles,CA,91030,US,US/Pacific,KCQT,2018-04-14 23:47:00,62.1,NA,53,30.07,10,Calm,NA,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-2913230,Bing,NA,2,2020-04-13 16:51:00,2020-04-13 17:27:42,33.854002,-117.941834,33.854002,-117.941834,0,At CA-91/Riverside Fwy - Accident.,NA,CA-91 E,R,Anaheim,Orange,CA,92801,US,US/Pacific,KFUL,2020-04-13 16:53:00,62,62,65,30,10,SSW,8,0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3088314,Bing,NA,2,2019-10-22 12:08:00,2019-10-22 13:15:00,40.30192,-109.90172,40.30199,-109.90871,0.368,At E UT-121/E 200 St N - Accident.,5196, E Highway 40,L,Roosevelt,Uintah,UT,84066,US,US/Mountain,KVEL,2019-10-22 11:53:00,49,47,35,24.95,10,SE,6,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2954085,Bing,NA,2,2020-01-09 17:35:00,2020-01-09 18:27:28,36.692446,-119.736427,36.692446,-119.736427,0,At E North Ave - Accident.,2999, S Chestnut Ave,L,Fresno,Fresno,CA,93725-2212,US,US/Pacific,KFAT,2020-01-09 17:53:00,50,50,77,29.74,10,WNW,8,0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-2048832,MapQuest,201,2,2018-01-31 07:48:52,2018-01-31 08:18:38,36.707489,-119.664047,NA,NA,0,Accident on Temperance Ave at Jensen Ave.,1874,S Temperance Ave,L,Fresno,Fresno,CA,93727-6617,US,US/Pacific,KFAT,2018-01-31 07:53:00,44.1,NA,93,30.13,1,Calm,NA,NA,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-18519,MapQuest,201,2,2016-11-23 21:49:26,2016-11-23 22:19:02,37.533226,-120.890305,NA,NA,0.01,Accident and vehicle fire on CA-99 Northbound at Exit 217 Taylor Rd.,NA,CA-99 N,R,Turlock,Stanislaus,CA,95382,US,US/Pacific,KMOD,2016-11-23 21:53:00,48,NA,71,30.34,10,NNW,6.9,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2022619,MapQuest,201,2,2018-03-20 12:15:49,2018-03-20 12:45:28,37.549862,-77.923531,NA,NA,0,Left hand shoulder blocked due to accident on US-60 Anderson Hwy Eastbound at Mann Rd.,3956,Anderson Hwy,L,Powhatan,Powhatan,VA,23139-5739,US,US/Eastern,KFCI,2018-03-20 11:56:00,39,30.3,96,29.72,6,North,16.1,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2675964,Bing,NA,2,2017-04-28 13:31:06,2017-04-28 19:31:06,37.76778,-122.39599,37.77435,-122.40048,0.516,At 5th St - Accident.,NA,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2017-04-28 13:53:00,70,NA,49,30.04,10,West,17.3,NA,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-200305,MapQuest,201,2,2017-01-14 09:06:37,2017-01-14 09:51:24,42.372772,-71.236626,NA,NA,0.01,Accident on Moody St in Waltham.,NA,Moody St,R,Waltham,Middlesex,MA,02453,US,US/Eastern,KBED,2017-01-14 08:56:00,19.9,NA,40,30.74,10,Calm,NA,NA,Scattered Clouds,False,False,True,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-609417,MapQuest,201,2,2020-03-27 03:59:34,2020-03-27 06:22:51,30.439791,-91.173508,NA,NA,0,Accident on Marcellious Ln at South St.,1436,South Blvd,R,Baton Rouge,East Baton Rouge,LA,70802-4192,US,US/Central,KBTR,2020-03-27 03:53:00,70,70,93,29.8,7,S,7,0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-274691,MapQuest,201,2,2016-10-26 05:02:01,2016-10-26 05:46:04,32.90329,-97.096832,NA,NA,0.01,#2 lane blocked and right hand shoulder blocked due to accident on TX-360 Northbound at Stone Myers Pkwy.,NA,Stone Myers Pkwy,R,Grapevine,Tarrant,TX,76051,US,US/Central,KDFW,2016-10-26 04:53:00,64.9,NA,75,30.06,10,South,6.9,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1311732,MapQuest,201,3,2019-03-29 01:23:28,2019-03-29 02:08:33,42.366463,-83.057472,NA,NA,0,Left hand shoulder blocked and left lane blocked due to accident on I-75 Southbound at Exits 53A 53B I-94.,NA,Chrysler Expy S,R,Detroit,Wayne,MI,48211,US,US/Eastern,KDET,2019-03-29 00:53:00,45,38.9,58,30.06,10,NNE,12.7,NA,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-309204,MapQuest,201,2,2016-11-01 10:32:40,2016-11-01 11:02:20,47.322403,-122.334656,NA,NA,0.01,Accident on 312th St at 1st Ave.,31201,1st Ave S,L,Federal Way,King,WA,98023,US,US/Pacific,KSEA,2016-11-01 10:32:00,52,NA,89,29.91,7,South,9.2,NA,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1612558,MapQuest,201,2,2018-10-26 16:32:34,2018-10-26 17:17:11,33.385708,-82.004082,NA,NA,0,Accident on Phinizy Rd at GA-56 Mike Padgett Hwy.,3486,Mike Padgett Hwy,L,Augusta,Richmond,GA,30906-3857,US,US/Eastern,KAGS,2018-10-26 16:53:00,55,NA,93,29.66,2,North,11.5,0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1182403,MapQuest,201,2,2019-05-21 14:31:19,2019-05-21 16:17:52,33.832989,-117.51899,NA,NA,0,Accident on Temescal Canyon Rd at Grant St.,19801,Temescal Canyon Rd,R,Corona,Riverside,CA,92881-4970,US,US/Pacific,KAJO,2019-05-21 14:56:00,65,65,56,29.27,10,WSW,9,0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-972504,MapQuest,201,2,2019-09-11 07:20:42,2019-09-11 08:21:00,30.68391,-91.148872,NA,NA,0,Accident on Port Hudson Pride Rd near LA-19 Zachary Slaughter Hwy.,8698,Highway 19,R,Zachary,East Baton Rouge,LA,70791,US,US/Central,KBTR,2019-09-11 06:53:00,74,74,93,30.08,6,NE,3,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2837529,Bing,NA,3,2020-06-19 13:38:38,2020-06-19 14:08:38,35.07859,-80.66681,35.06813,-80.67878,0.99,At Old Monroe Rd - Accident.,2, Matthews Indian Trail Rd,L,Indian Trail,Union,NC,28079-3626,US,US/Eastern,KEQY,2020-06-19 13:53:00,81,81,60,29.35,10,W,8,0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2750667,Bing,NA,2,2020-05-06 16:44:32,2020-05-06 17:19:30,37.35497,-77.41335,37.35497,-77.41335,0,At VA-10/W Hundred Rd - Accident.,NA,W Hundred Rd,R,Chester,Chesterfield,VA,23831,US,US/Eastern,KFCI,2020-05-06 16:56:00,65,65,43,29.45,10,WNW,12,0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2313075,MapQuest,201,2,2017-10-16 09:08:22,2017-10-16 09:53:13,35.147011,-80.724648,NA,NA,0,Accident on Sardis Rd Westbound at US-74 Independence Blvd.,NA,Sardis Rd N,R,Charlotte,Mecklenburg,NC,28227,US,US/Eastern,KEQY,2017-10-16 09:06:00,66.9,NA,100,30.03,5,NNE,10.4,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-820547,MapQuest,201,3,2019-10-15 07:26:53,2019-10-15 08:43:06,35.009171,-85.238594,NA,NA,0,Right lane blocked and right hand shoulder blocked due to accident on I-24 Westbound at Exits 183A 184 Terrace Rd.,NA,I-24 E,R,Chattanooga,Hamilton,TN,37411,US,US/Eastern,KCHA,2019-10-15 07:53:00,57,57,77,29.37,10,CALM,0,0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1220308,MapQuest,201,2,2019-04-08 15:45:36,2019-04-08 17:15:24,35.827374,-78.703667,NA,NA,0,Accident on Edwards Mill Rd Northbound in Tysonville.,3493,Edwards Mill Rd,R,Raleigh,Wake,NC,27612-5361,US,US/Eastern,KRDU,2019-04-08 15:51:00,79,79,58,29.4,10,SW,10,0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-993463,MapQuest,201,2,2019-08-22 10:02:11,2019-08-22 11:31:58,35.10648,-80.76667,NA,NA,0,Accident on NC-51 Pineville-Matthews Rd at Hugh Forest Rd.,NA,Beverly Crest Blvd,R,Charlotte,Mecklenburg,NC,28270,US,US/Eastern,KEQY,2019-08-22 09:53:00,82,82,71,29.33,10,WSW,9,0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3182881,Bing,NA,4,2019-02-13 00:46:02,2019-02-13 02:45:41,41.71062,-72.64635,41.69867,-72.64418,0.833,At CT-3/Exit 25/Exit 26 - Overturned vehicle.,NA,I-91 S,R,Wethersfield,Hartford,CT,06109,US,US/Eastern,KHFD,2019-02-13 00:48:00,28.4,19.7,93,29.7,2,NNE,9.2,0.06,Light Freezing Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1870724,MapQuest,201,2,2018-05-04 12:43:45,2018-05-04 13:13:36,32.241543,-110.860168,NA,NA,0,Accident on Lee St at Rook Ave.,6198,E Lee St,R,Tucson,Pima,AZ,85712-4315,US,US/Mountain,KDMA,2018-05-04 12:58:00,87.4,NA,10,30.01,10,West,3.5,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-727863,MapQuest,201,2,2020-02-21 16:41:31,2020-02-21 17:41:17,35.49324,-97.553818,NA,NA,0,Accident on 23rd St at Cross Ave.,2329,NW 23rd St,L,Oklahoma City,Oklahoma,OK,73107-2405,US,US/Central,KPWA,2020-02-21 16:53:00,48,43,29,29.05,10,S,13,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2730254,Bing,NA,2,2020-05-30 12:51:00,2020-05-30 15:45:27,36.571944,-121.520556,36.571944,-121.520556,0,At Main St/Exit 317 - Accident.,NA,El Camino Real S,R,Salinas,Monterey,CA,93908,US,US/Pacific,KSNS,2020-05-30 12:53:00,65,65,84,29.85,3,W,7,0.05,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3327741,Bing,NA,2,2018-04-06 13:49:25,2018-04-06 19:49:25,40.567216,-111.899541,40.572731,-111.899986,0.382,At UT-209/9000/Exit 295 - Accident.,NA,I-15 N,R,Sandy,Salt Lake,UT,84070,US,US/Mountain,KU42,2018-04-06 13:55:00,49.3,NA,90,29.93,10,Calm,NA,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2410750,MapQuest,201,2,2017-07-27 07:18:08,2017-07-27 07:47:53,39.897137,-86.215759,NA,NA,0,Accident on 79th St at Michigan Rd.,3311,W 79th St,L,Indianapolis,Marion,IN,46268,US,US/Eastern,KEYE,2017-07-27 07:17:00,75,NA,90,29.95,3,Calm,NA,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2722216,Bing,NA,1,2020-05-27 10:38:07,2020-05-27 11:13:05,27.93755,-82.33016,27.92375,-82.33302,0.969,At SR-618/Exit 257 - Accident. Hard shoulder blocked.,NA,I-75 S,R,Tampa,Hillsborough,FL,33619,US,US/Eastern,KTPF,2020-05-27 10:35:00,82,82,89,29.95,10,SSW,9,0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2636206,Bing,NA,4,2017-03-28 09:00:07,2017-03-28 15:00:07,29.77686,-95.39025,29.77661,-95.40026,0.601,Closed between Heights Blvd/Studemont St and 765b - Road closed due to accident.,NA,I-10 W,R,Houston,Harris,TX,77007,US,US/Central,KMCJ,2017-03-28 08:55:00,73.4,NA,88,29.85,5,ESE,8.1,NA,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3082056,Bing,NA,2,2019-10-17 10:29:00,2019-10-17 12:06:39,37.400712,-122.036276,37.400712,-122.036276,0,At CA-237/Mountain View Alviso Rd - Accident.,NA,Bayshore Fwy S,R,Mountain View,Santa Clara,CA,94043,US,US/Pacific,KNUQ,2019-10-17 10:56:00,NA,NA,NA,29.96,NA,,NA,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1395406,MapQuest,201,3,2019-01-10 18:26:58,2019-01-10 19:26:44,32.998169,-80.093689,NA,NA,0,Accident on I-26 Westbound at Exit 203 College Park Rd.,NA,I-26 E,R,Ladson,Berkeley,SC,29456,US,US/Eastern,KCHS,2019-01-10 17:56:00,44.1,38.6,42,30.16,10,North,10.4,NA,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3034190,Bing,NA,2,2019-12-31 11:36:00,2019-12-31 12:08:29,32.600074,-117.089556,32.600074,-117.089556,0,At Main St/Exit 5B - Accident.,NA,I-5 S,R,Chula Vista,San Diego,CA,91911,US,US/Pacific,KNRS,2019-12-31 11:56:00,NA,NA,NA,29.95,10,,NA,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2229630,MapQuest,201,2,2017-11-02 07:17:31,2017-11-02 08:17:22,34.620205,-82.722679,NA,NA,0,Accident on Lebanon Rd at Millwee Creek Rd.,1598,Millwee Creek Rd,R,Pendleton,Anderson,SC,29670-8828,US,US/Eastern,KCEU,2017-11-02 06:54:00,55.9,NA,100,30.22,10,Calm,NA,NA,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-811671,MapQuest,241,2,2019-10-10 07:50:39,2019-10-10 08:35:02,27.493389,-81.485588,NA,NA,0,Center lane blocked due to accident on US-27 Southbound at Sparrow Ave.,NA,US Highway 27 N,R,Sebring,Highlands,FL,33870,US,US/Eastern,KBOW,2019-10-10 07:30:00,73,73,94,29.84,10,ENE,6,0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1552189,MapQuest,201,2,2018-11-28 07:52:02,2018-11-28 08:21:54,30.296034,-98.010674,NA,NA,0,Accident on RM-3238 Hamilton Pool Rd near Destiny Hills Dr.,16198,Hamilton Pool Rd,R,Austin,Travis,TX,78738-7403,US,US/Central,KRYW,2018-11-28 07:55:00,51.8,NA,71,30.02,10,SSW,6.9,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1472858,MapQuest,201,2,2018-12-19 12:52:10,2018-12-19 14:07:00,35.623638,-97.549561,NA,NA,0,Accident on Penn Ave at 150th St.,15004,N Pennsylvania Ave,R,Edmond,Oklahoma,OK,73013,US,US/Central,KPWA,2018-12-19 12:53:00,52,NA,89,29.78,7,SW,9.2,0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-385950,MapQuest,201,3,2017-02-21 09:24:46,2017-02-21 09:53:23,32.676197,-97.177361,NA,NA,0.01,Left hand shoulder blocked and #1 lane blocked due to accident on I-20 Westbound at Exit 447 Kelly Elliott Rd.,NA,I-20 W,R,Arlington,Tarrant,TX,76016,US,US/Central,KGKY,2017-02-21 09:53:00,61,NA,58,29.98,10,WNW,12.7,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2183255,MapQuest,201,2,2017-12-08 05:49:26,2017-12-08 06:33:48,36.027634,-95.860802,NA,NA,0,Accident on US-169 Northbound at 91st.,NA,Creek Tpke S,R,Tulsa,Tulsa,OK,74133,US,US/Central,KRVS,2017-12-08 05:53:00,16,NA,77,30.28,10,Calm,NA,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1358801,MapQuest,201,2,2019-02-18 11:25:33,2019-02-18 11:55:19,29.677416,-95.476349,NA,NA,0,Accident on Chimney Rock Rd at Braeswood Blvd.,9427,Chimney Rock Rd,L,Houston,Harris,TX,77096,US,US/Central,KMCJ,2019-02-18 11:15:00,57.2,NA,33,30.16,10,NE,21.9,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1195855,MapQuest,201,3,2019-05-29 06:51:32,2019-05-29 07:36:21,32.700977,-96.824242,NA,NA,0,Accident on I-35E Northbound at Overton rd.,NA,I-35E N,R,Dallas,Dallas,TX,75224,US,US/Central,KRBD,2019-05-29 18:53:00,73,73,93,28.99,10,NNW,10,0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3460751,Bing,NA,4,2019-05-18 08:35:17,2019-05-18 13:23:55,40.191479,-74.880661,40.192678,-74.879662,0.098,Closed at US-1/Exit 46 - Road closed due to accident.,NA,I-95 N,R,Langhorne,Bucks,PA,19047,US,US/Eastern,KTTN,2019-05-18 08:53:00,64,64,56,29.78,10,N,6,0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2509659,Bing,NA,2,2016-07-13 00:51:51,2016-07-13 06:51:51,29.889259,-95.41196,29.889232,-95.411959,0.002,At Gulf Bank Rd/Exit 57 - Accident.,NA,I-45 N,R,Houston,Harris,TX,77037,US,US/Central,KIAH,2016-07-13 00:53:00,82.9,NA,82,30.01,10,South,6.9,NA,Partly Cloudy,False,False,True,True,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-707321,MapQuest,201,2,2020-02-11 18:24:41,2020-02-11 19:09:31,40.791512,-74.008293,NA,NA,0,Accident on 66th St at Dewey Ave.,224,66th St,R,West New York,Hudson,NJ,07093-3134,US,US/Eastern,KNYC,2020-02-11 18:05:00,47,47,83,29.67,10,WNW,3,0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
